LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
LID00000001,56,123388,245941,406,72,3,8.22,48,0.49,High School,Full-time,Married,No,Yes,Home,No,0
LID00000002,69,28280,239913,511,105,3,21.66,12,0.1,Master's,Part-time,Divorced,No,No,Education,No,1
LID00000003,46,17754,156064,687,15,2,24.61,12,0.43,PhD,Full-time,Married,No,Yes,Business,No,1
LID00000004,32,65258,188808,570,65,1,13.81,60,0.55,High School,Full-time,Married,Yes,Yes,Auto,No,0
LID00000005,60,58386,138578,585,7,4,16.85,12,0.29,High School,Full-time,Married,Yes,Yes,Home,No,0
LID00000006,25,46365,110742,406,82,2,23.84,12,0.77,High School,Part-time,Married,No,Yes,Education,No,1
LID00000007,38,96353,73057,598,6,2,16.84,24,0.63,High School,Full-time,Married,No,No,Education,No,0
LID00000008,56,16803,129462,313,110,4,17.03,24,0.18,Bachelor's,Full-time,Married,No,No,Other,No,1
LID00000009,36,139907,216109,601,67,4,3.17,12,0.28,High School,Full-time,Single,Yes,Yes,Education,No,0
LID00000010,40,136345,75816,634,93,4,18.44,60,0.67,Master's,Part-time,Single,No,No,Auto,No,0
LID00000011,28,120210,173802,320,94,4,13.24,48,0.22,High School,Self-employed,Single,Yes,No,Home,No,0
LID00000012,28,42117,71541,631,41,3,17.15,48,0.55,Master's,Full-time,Single,Yes,No,Other,No,0
LID00000013,41,22204,138530,774,47,3,20.01,12,0.55,High School,Full-time,Single,No,Yes,Home,No,0
LID00000014,53,77519,98619,488,109,4,14.33,24,0.66,PhD,Full-time,Single,Yes,No,Auto,No,0
LID00000015,57,65386,102099,502,110,3,7.69,24,0.63,Bachelor's,Full-time,Divorced,No,Yes,Business,Yes,0
LID00000016,41,31486,136795,364,66,2,21.64,24,0.6,Bachelor's,Part-time,Divorced,No,No,Auto,No,1
